"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53600","testAddNewEmployeeDDT","OrangeHRM Suite","Sat Jan 10 17:56:35 UTC 2026","passed","Sat Jan 10 17:57:28 UTC 2026","com.orangehrm.tests.pim.AddEmployeeTest","Full Regression","com.orangehrm.tests.pim.AddEmployeeTest","testAddNewEmployeeDDT"
"","64468","testAddNewEmployeeDDT","OrangeHRM Suite","Sat Jan 10 17:58:25 UTC 2026","passed","Sat Jan 10 17:59:29 UTC 2026","com.orangehrm.tests.pim.AddEmployeeTest","Full Regression","com.orangehrm.tests.pim.AddEmployeeTest","testAddNewEmployeeDDT"
"","1516","testValidLogin","OrangeHRM Suite","Sat Jan 10 17:56:31 UTC 2026","passed","Sat Jan 10 17:56:32 UTC 2026","com.orangehrm.tests.auth.LoginTest","Full Regression","com.orangehrm.tests.auth.LoginTest","testValidLogin"
"","53843","testAddNewEmployeeDDT","OrangeHRM Suite","Sat Jan 10 17:57:30 UTC 2026","passed","Sat Jan 10 17:58:23 UTC 2026","com.orangehrm.tests.pim.AddEmployeeTest","Full Regression","com.orangehrm.tests.pim.AddEmployeeTest","testAddNewEmployeeDDT"
"","59003","testAddNewEmployeeDDT","OrangeHRM Suite","Sat Jan 10 17:59:32 UTC 2026","broken","Sat Jan 10 18:00:31 UTC 2026","com.orangehrm.tests.pim.AddEmployeeTest","Full Regression","com.orangehrm.tests.pim.AddEmployeeTest","testAddNewEmployeeDDT"
